"Statistic","p.value","Trials"
"1.68815599043392","0.256","Trial 1"
"1.76522017903762","0.205","Trial 2"
"1.89287489898129","0.161","Trial 3"
"2.02380466921513","0.123","Trial 4"
"0.380528796493255","0.921","Trial 5"
"0.908680070214235","0.647","Trial 6"
"0.462702543688756","0.922","Trial 7"
"1.73747387107646","0.202","Trial 8"
"0.598978753031354","0.847","Trial 9"
"1.17457350674517","0.513","Trial 10"
