"Statistic","p.value","Trials"
"2.34340384102489","0.067","Trial 1"
"1.21106501372606","0.498","Trial 2"
"1.96153819501594","0.155","Trial 3"
"1.97381469397876","0.141","Trial 4"
"1.49130329131875","0.329","Trial 5"
"0.61387010418429","0.834","Trial 6"
"0.916871077377685","0.675","Trial 7"
"1.7320842250992","0.228","Trial 8"
"1.50568791739949","0.329","Trial 9"
"1.20363591744682","0.453","Trial 10"
