"Statistic","p.value","Electrode"
"2.20629166030735","0.078","Fp1"
"1.48985587709594","0.293","F3"
"0.573023387406928","0.867","F7"
"0.881235406463505","0.719","FT9"
"1.70159522065685","0.229","FC5"
"0.664405715736887","0.775","FC1"
"1.53910706111519","0.31","C3"
"1.02031997132209","0.576","T7"
"0.788580588849096","0.735","TP9"
"1.90262135693291","0.156","CP5"
"2.0837383748063","0.116","CP1"
"2.78082780924206","0.011","Pz"
"2.52817141651985","0.045","P3"
"1.01662945524552","0.513","P7"
"2.74697979758012","0.016","O1"
"2.65790047622566","0.031","Oz"
"3.1530745574034","0.001","O2"
"2.65185696460633","0.029","P4"
"2.59480654555596","0.028","P8"
"1.59131386611528","0.302","TP10"
"2.82636644387938","0.019","CP6"
"2.20191210959095","0.077","CP2"
"0.708373746053008","0.761","Cz"
"2.1311135073228","0.091","C4"
"0.874760711206866","0.727","T8"
"1.14878632000169","0.493","FT10"
"0.726757585897239","0.807","FC6"
"0.738650510517938","0.742","FC2"
"0.479081193874322","0.887","F4"
"1.11277938793596","0.524","F8"
"1.20363591744682","0.465","Fp2"
