"Statistic","p.value","Trials"
"1.93523654857661","0.156","Trial 1"
"1.03510242186339","0.587","Trial 2"
"2.33196296259108","0.063","Trial 3"
"0.656606498161964","0.792","Trial 4"
"0.955035524362911","0.628","Trial 5"
"1.74405004320338","0.248","Trial 6"
"1.94688896099381","0.149","Trial 7"
"1.82647997819967","0.179","Trial 8"
"0.317912446509795","0.959","Trial 9"
"0.874524332518535","0.669","Trial 10"
