"Statistic","p.value","Electrode"
"0.704223800720052","0.786","Fp1"
"0.400486906172195","0.933","F3"
"0.511678135020762","0.881","F7"
"1.36651746907256","0.422","FT9"
"1.84132151270553","0.169","FC5"
"1.21956690787388","0.489","FC1"
"1.60732051706135","0.299","C3"
"2.39132053659314","0.062","T7"
"0.344531486665895","0.947","TP9"
"1.59663996828706","0.265","CP5"
"1.70492610755417","0.247","CP1"
"1.73243998783523","0.228","Pz"
"1.37036895219263","0.433","P3"
"1.7262269145429","0.194","P7"
"1.36452791866192","0.325","O1"
"0.816630592113084","0.736","Oz"
"1.44992852921217","0.323","O2"
"1.95804975687914","0.149","P4"
"0.974757632469408","0.652","P8"
"0.627151875197742","0.847","TP10"
"2.32735554622666","0.077","CP6"
"0.917289484743218","0.667","CP2"
"2.29090227918677","0.073","Cz"
"1.65602803318305","0.259","C4"
"0.893462077357707","0.709","T8"
"1.29669705810268","0.419","FT10"
"0.429967954542962","0.931","FC6"
"1.72046147545036","0.266","FC2"
"1.51042269502935","0.317","F4"
"1.56989891786069","0.28","F8"
"1.67188307598539","0.219","Fp2"
