"Statistic","p.value","Electrode"
"0.958568577598474","0.62","Fp1"
"1.6907175033549","0.251","F3"
"1.10955801027993","0.572","F7"
"0.98440140203093","0.615","FT9"
"1.12489682870616","0.56","FC5"
"1.01750966500199","0.59","FC1"
"1.6064960234909","0.26","C3"
"1.14237950898756","0.524","T7"
"0.900236024977678","0.682","TP9"
"1.18034896608389","0.53","CP5"
"2.90810023418223","0.005","CP1"
"2.22614171656697","0.063","Pz"
"2.69831804124542","0.024","P3"
"2.5540967100396","0.025","P7"
"2.29284901270995","0.067","O1"
"2.80136960700315","0.017","Oz"
"2.02119718645316","0.12","O2"
"2.06866070028585","0.115","P4"
"2.63468191457758","0.032","P8"
"2.58529829060601","0.029","TP10"
"2.81533946778307","0.015","CP6"
"2.97910018571557","0.012","CP2"
"2.82311202883718","0.008","Cz"
"2.22403954024284","0.087","C4"
"2.45647545622448","0.052","T8"
"2.67697884483983","0.023","FT10"
"2.43733468235963","0.044","FC6"
"1.34140820026713","0.488","FC2"
"2.52444267344597","0.045","F4"
"2.91940808376706","0.015","F8"
"1.90716917419187","0.154","Fp2"
