"Statistic","p.value","Electrode"
"1.76092508602303","0.183","Fp1"
"1.62178043173592","0.223","F3"
"1.53782382151661","0.308","F7"
"2.15951825608037","0.098","FT9"
"1.55755333715803","0.308","FC5"
"1.90348673664505","0.154","FC1"
"1.82980407696519","0.182","C3"
"1.29024147225616","0.457","T7"
"1.39937671692119","0.403","TP9"
"1.63285775012515","0.315","CP5"
"1.83372627096089","0.204","CP1"
"1.82263405459415","0.191","Pz"
"2.00834715488513","0.151","P3"
"1.96427633591943","0.168","P7"
"1.99201804102181","0.154","O1"
"2.15269753558635","0.1","Oz"
"2.10473205495031","0.108","O2"
"2.1884298315297","0.096","P4"
"2.12548729605959","0.141","P8"
"2.15351844600292","0.108","TP10"
"1.48101514958641","0.356","CP6"
"2.81167777033037","0.016","CP2"
"2.20688766014457","0.106","Cz"
"2.24524044281677","0.051","C4"
"1.32913789019492","0.351","T8"
"0.467370212535788","0.906","FT10"
"1.30606742532448","0.411","FC6"
"1.79376275759592","0.148","FC2"
"1.61601307205432","0.202","F4"
"0.316089509929186","0.948","F8"
"0.874524332518535","0.666","Fp2"
