"Statistic","p.value","Trials"
"1.90675135922903","0.191","Trial 1"
"0.311067294966483","0.964","Trial 2"
"0.839597089985581","0.69","Trial 3"
"1.49629197165541","0.341","Trial 4"
"1.61563988943544","0.271","Trial 5"
"0.565153651412109","0.846","Trial 6"
"1.98340697609228","0.12","Trial 7"
"1.76719240791527","0.228","Trial 8"
"1.39602843318014","0.377","Trial 9"
"0.91880384224504","0.661","Trial 10"
"1.061582328777","0.554","Trial 11"
"2.11437984941205","0.109","Trial 12"
"1.05355390805172","0.626","Trial 13"
"1.0081857772576","0.617","Trial 14"
"0.585737278786239","0.866","Trial 15"
"2.04996962262185","0.112","Trial 16"
"1.77842418483841","0.185","Trial 17"
"2.38093659595115","0.057","Trial 18"
"2.28634767601238","0.066","Trial 19"
"1.92108841703744","0.141","Trial 20"
